iter	Passed	Remaining
886	7210	918
887	7217	910
888	7225	902
889	7233	893
890	7243	886
891	7250	877
892	7258	869
893	7265	861
894	7273	853
895	7280	845
896	7290	837
897	7298	828
898	7307	820
899	7314	812
900	7323	804
901	7330	796
902	7341	788
903	7348	780
904	7355	772
905	7361	763
906	7370	755
907	7376	747
908	7384	739
909	7391	731
910	7399	722
911	7405	714
912	7412	706
913	7420	698
914	7426	689
915	7434	681
916	7442	673
917	7457	666
918	7469	658
919	7479	650
920	7489	642
921	7497	634
922	7506	626
923	7515	618
924	7521	609
925	7527	601
926	7534	593
927	7539	584
928	7545	576
929	7552	568
930	7558	560
931	7565	551
932	7572	543
933	7578	535
934	7584	527
935	7590	519
936	7597	510
937	7603	502
938	7608	494
939	7616	486
940	7622	477
941	7628	469
942	7634	461
943	7640	453
944	7646	445
945	7651	436
946	7657	428
947	7665	420
948	7671	412
949	7678	404
950	7684	395
951	7690	387
952	7697	379
953	7703	371
954	7708	363
955	7715	355
956	7721	346
957	7728	338
958	7733	330
959	7739	322
960	7745	314
961	7751	306
962	7756	298
963	7763	289
964	7769	281
965	7775	273
966	7783	265
967	7789	257
968	7796	249
969	7801	241
970	7807	233
971	7813	225
972	7819	216
973	7826	208
974	7831	200
975	7837	192
976	7843	184
977	7848	176
978	7854	168
979	7860	160
980	7866	152
981	7872	144
982	7880	136
983	7886	128
984	7893	120
985	7899	112
986	7905	104
987	7911	96
988	7916	88
989	7923	80
990	7929	72
991	7934	63
992	7940	55
993	7946	47
994	7953	39
995	7959	31
996	7965	23
997	7972	15
998	7978	7
999	7984	0
